dane1;eng1;dane2;eng2;key;Octant Code;Item Code;"CSIV Item: ""How important is it that...""";questions;labels
ISC_11;;skala3b_r19;ISC_19;COLD;;;;Przeszkadza mi, gdy osoba: - odgradza się ode mnie.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_12;;skala3b_r20;ISC_20;COLD_SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - przygląda się, ale nie angażuje.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_13;;skala3b_r21;ISC_21;SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - jest słaba.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_14;;skala3b_r22;ISC_22;WARM_SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - zdaje się ciągle potrzebować mojej pomocy.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_15;;skala3b_r23;ISC_23;WARM;;;;Przeszkadza mi, gdy osoba: - mówi mi, że mnie kocha.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_16;;skala3b_r24;ISC_24;WARM_DOMINANT;;;;Przeszkadza mi, gdy osoba: - popisuje się.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_17;;skala3b_r25;ISC_25;DOMINANT;;;;Przeszkadza mi, gdy osoba: - zrobi wszystko, żeby dostać to, czego chce.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_18;;skala3b_r26;ISC_26;COLD_DOMINANT;;;;Przeszkadza mi, gdy osoba: - jest kłamliwy/a.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_19;;skala3b_r27;ISC_27;COLD;;;;Przeszkadza mi, gdy osoba: - nie podzieli się ze mną swoimi uczuciami.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_20;;skala3b_r28;ISC_28;COLD_SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - nie stanie na wysokości zadania.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_21;;skala3b_r29;ISC_29;SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - pozwala się innym zdominować.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_22;;skala3b_r30;ISC_30;WARM_SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - odgrywa bezradną.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_23;;skala3b_r31;ISC_31;WARM;;;;Przeszkadza mi, gdy osoba: - wyraża troskę wobec mnie.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_24;;skala3b_r32;ISC_32;WARM_DOMINANT;;;;Przeszkadza mi, gdy osoba: - mówi o sobie.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_25;;skala3b_r33;ISC_33;DOMINANT;;;;Przeszkadza mi, gdy osoba: - musi decydować o wszystkim.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_26;;skala3b_r34;ISC_34;COLD_DOMINANT;;;;Przeszkadza mi, gdy osoba: - nie ufa mi.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_27;;skala3b_r35;ISC_35;COLD;;;;Przeszkadza mi, gdy osoba: - jest nie reagująca.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_28;;skala3b_r36;ISC_36;COLD_SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - nie dzieli się swoimi pomysłami.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_29;;skala3b_r37;ISC_37;SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - jest zawsze uległa.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_30;;skala3b_r38;ISC_38;WARM_SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - śmieje się z wszystkich moich żartów.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_31;;skala3b_r39;ISC_39;WARM;;;;Przeszkadza mi, gdy osoba: - zachowuje się tak, jakbyśmy byli przyjaciółmi, choć się nie znamy.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_32;;skala3b_r40;ISC_40;WARM_DOMINANT;;;;Przeszkadza mi, gdy osoba: - musi mieć rację.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_33;;skala3b_r41;ISC_41;DOMINANT;;;;Przeszkadza mi, gdy osoba: - zastrasza mnie.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_34;;skala3b_r42;ISC_42;COLD_DOMINANT;;;;Przeszkadza mi, gdy osoba: - nie troszczy się o moje uczucia.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_35;;skala3c_r43;ISC_43;COLD;;;;Przeszkadza mi, gdy osoba: - unika mnie.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_36;;skala3c_r44;ISC_44;COLD_SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - nie chce uczestniczyć.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_37;;skala3c_r45;ISC_45;SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - nie potrafi podejmować decyzji.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_38;;skala3c_r46;ISC_46;WARM_SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - jest zależna ode mnie.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_39;;skala3c_r47;ISC_47;WARM;;;;Przeszkadza mi, gdy osoba: - jest pobłażliwa dla mnie.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_40;;skala3c_r48;ISC_48;WARM_DOMINANT;;;;Przeszkadza mi, gdy osoba: - przerywa.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_41;;skala3c_r49;ISC_49;DOMINANT;;;;Przeszkadza mi, gdy osoba: - jest apodyktyczna.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_42;;skala3c_r50;ISC_50;COLD_DOMINANT;;;;Przeszkadza mi, gdy osoba: - oczekuje po mnie najgorszego.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_43;;skala3c_r51;ISC_51;COLD;;;;Przeszkadza mi, gdy osoba: - nigdy się ze mną nie kontaktuje.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_44;;skala3c_r52;ISC_52;COLD_SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - jest naprawdę nieśmiała.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_45;;skala3c_r53;ISC_53;SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - jest bardzo bierny/a.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_46;;skala3c_r54;ISC_54;WARM_SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - wierzy we wszystko, co mówię.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_47;;skala3c_r55;ISC_55;WARM;;;;Przeszkadza mi, gdy osoba: - wierzy, że nie mogę zrobić nic złego.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_48;;skala3c_r56;ISC_56;WARM_DOMINANT;;;;Przeszkadza mi, gdy osoba: - próbuje mi pokazać, jak coś zrobić.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_49;;skala3c_r57;ISC_57;DOMINANT;;;;Przeszkadza mi, gdy osoba: - zawsze stawia siebie na pierwszym miejscu.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_50;;skala3c_r58;ISC_58;COLD_DOMINANT;;;;Przeszkadza mi, gdy osoba: - jest złośliwy/a.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_51;;skala3c_r59;ISC_59;COLD;;;;Przeszkadza mi, gdy osoba: - odsuwa się ode mnie.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_52;;skala3c_r60;ISC_60;COLD_SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - odmawia przewodzić innymi.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_53;;skala3c_r61;ISC_61;SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - łatwo ją kontrolować.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_54;;skala3c_r62;ISC_62;WARM_SUBMISSIVE;;;;Przeszkadza mi, gdy osoba: - jest miękka.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_55;;skala3c_r63;ISC_63;WARM;;;;Przeszkadza mi, gdy osoba: - jest lgnąca.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_56;;skala3c_r64;ISC_64;WARM_DOMINANT;;;;Przeszkadza mi, gdy osoba: - przejmuje kontrolę.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_57;;skala3c_r65;ISC_31b;WARM;;;;Przeszkadza mi, gdy osoba: - wyraża zaniepokojenie wobec mnie.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_58;;skala3c_r66;ISC_63b;WARM;;;;Przeszkadza mi, gdy osoba: - jest przylepny/a.;"1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo mało; rzadko mi przeszkadza, 3:3 Mało; okazjonalnie mi to przeszkadza, 4:4 Trochę; przeszkadza mi mniej niż połową czasu, 5:5 Raczej mi to przeszkadza; więcej niż połowę czasu, 6:6 Całkiem; często mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to większość czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
ISC_59;;stan_cywilny;martial_state;demographic;;;;Stan cywilny:;1:Nie mam partnera/partnerki, 2:Związek nieformalny, 3:Małżeństwo, 4:Rozwiedziony lub w separacji, 5:Wdowiec
ISC_60;;status_zwiazku;relationship;demographic;;;;Status związku romantycznego:;1:Jestem w związku romantycznym, 2:Nie jestem w związku romantycznym, 3:Sytuacja jest skomplikowana
