"","variable","question","labels"
"168","skala3b_r26","Przeszkadza mi, gdy osoba: - jest k³amliwy/a.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"169","skala3b_r27","Przeszkadza mi, gdy osoba: - nie podzieli siê ze mn¹ swoimi uczuciami.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"170","skala3b_r28","Przeszkadza mi, gdy osoba: - nie stanie na wysokoœci zadania.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"171","skala3b_r29","Przeszkadza mi, gdy osoba: - pozwala siê innym zdominowaæ.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"172","skala3b_r30","Przeszkadza mi, gdy osoba: - odgrywa bezradn¹.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"173","skala3b_r31","Przeszkadza mi, gdy osoba: - wyra¿a troskê wobec mnie.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"174","skala3b_r32","Przeszkadza mi, gdy osoba: - mówi o sobie.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"175","skala3b_r33","Przeszkadza mi, gdy osoba: - musi decydowaæ o wszystkim.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"176","skala3b_r34","Przeszkadza mi, gdy osoba: - nie ufa mi.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"177","skala3b_r35","Przeszkadza mi, gdy osoba: - jest nie reaguj¹ca.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"178","skala3b_r36","Przeszkadza mi, gdy osoba: - nie dzieli siê swoimi pomys³ami.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"179","skala3b_r37","Przeszkadza mi, gdy osoba: - jest zawsze uleg³a.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"180","skala3b_r38","Przeszkadza mi, gdy osoba: - œmieje siê z wszystkich moich ¿artów.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"181","skala3b_r39","Przeszkadza mi, gdy osoba: - zachowuje siê tak, jakbyœmy byli przyjació³mi, choæ siê nie znamy.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"182","skala3b_r40","Przeszkadza mi, gdy osoba: - musi mieæ racjê.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"183","skala3b_r41","Przeszkadza mi, gdy osoba: - zastrasza mnie.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"184","skala3b_r42","Przeszkadza mi, gdy osoba: - nie troszczy siê o moje uczucia.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"185","skala3c_r43","Przeszkadza mi, gdy osoba: - unika mnie.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"186","skala3c_r44","Przeszkadza mi, gdy osoba: - nie chce uczestniczyæ.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"187","skala3c_r45","Przeszkadza mi, gdy osoba: - nie potrafi podejmowaæ decyzji.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"188","skala3c_r46","Przeszkadza mi, gdy osoba: - jest zale¿na ode mnie.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"189","skala3c_r47","Przeszkadza mi, gdy osoba: - jest pob³a¿liwa dla mnie.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"190","skala3c_r48","Przeszkadza mi, gdy osoba: - przerywa.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"191","skala3c_r49","Przeszkadza mi, gdy osoba: - jest apodyktyczna.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"192","skala3c_r50","Przeszkadza mi, gdy osoba: - oczekuje po mnie najgorszego.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"193","skala3c_r51","Przeszkadza mi, gdy osoba: - nigdy siê ze mn¹ nie kontaktuje.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"194","skala3c_r52","Przeszkadza mi, gdy osoba: - jest naprawdê nieœmia³a.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"195","skala3c_r53","Przeszkadza mi, gdy osoba: - jest bardzo bierny/a.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"196","skala3c_r54","Przeszkadza mi, gdy osoba: - wierzy we wszystko, co mówiê.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"197","skala3c_r55","Przeszkadza mi, gdy osoba: - wierzy, ¿e nie mogê zrobiæ nic z³ego.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"198","skala3c_r56","Przeszkadza mi, gdy osoba: - próbuje mi pokazaæ, jak coœ zrobiæ.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"199","skala3c_r57","Przeszkadza mi, gdy osoba: - zawsze stawia siebie na pierwszym miejscu.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"200","skala3c_r58","Przeszkadza mi, gdy osoba: - jest z³oœliwy/a.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"201","skala3c_r59","Przeszkadza mi, gdy osoba: - odsuwa siê ode mnie.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"202","skala3c_r60","Przeszkadza mi, gdy osoba: - odmawia przewodziæ innymi.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"203","skala3c_r61","Przeszkadza mi, gdy osoba: - ³atwo j¹ kontrolowaæ.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"204","skala3c_r62","Przeszkadza mi, gdy osoba: - jest miêkka.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"205","skala3c_r63","Przeszkadza mi, gdy osoba: - jest lgn¹ca.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"206","skala3c_r64","Przeszkadza mi, gdy osoba: - przejmuje kontrolê.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"207","skala3c_r65","Przeszkadza mi, gdy osoba: - wyra¿a zaniepokojenie wobec mnie.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"208","skala3c_r66","Przeszkadza mi, gdy osoba: - jest przylepny/a.","1:1 W ogóle; nigdy mi to nie przeszkadza, 2:2 Bardzo ma³o; rzadko mi przeszkadza, 3:3 Ma³o; okazjonalnie mi to przeszkadza, 4:4 Trochê; przeszkadza mi mniej ni¿ po³ow¹ czasu, 5:5 Raczej mi to przeszkadza; wiêcej ni¿ po³owê czasu, 6:6 Ca³kiem; czêsto mi to przeszkadza, 7:7 Bardzo mocno; przeszkadza mi to wiêkszoœæ czasu, 8:8 Niezwykle mocno; zawsze mi to przeszkadza"
"209","stan_cywilny","Stan cywilny:","1:Nie mam partnera/partnerki, 2:Zwi¹zek nieformalny, 3:Ma³¿eñstwo, 4:Rozwiedziony lub w separacji, 5:Wdowiec"
"210","status_zwiazku","Status zwi¹zku romantycznego:","1:Jestem w zwi¹zku romantycznym, 2:Nie jestem w zwi¹zku romantycznym, 3:Sytuacja jest skomplikowana"
"211","aktywnosc_zawodowa_r1","Aktywnoœæ zawodowa - Uczeñ/student","0:nie, 1:tak"
"212","aktywnosc_zawodowa_r2","Aktywnoœæ zawodowa - Sta³a praca","0:nie, 1:tak"
"213","aktywnosc_zawodowa_r3","Aktywnoœæ zawodowa - Bezrobocie","0:nie, 1:tak"
"214","aktywnosc_zawodowa_r4","Aktywnoœæ zawodowa - Inne:","0:nie, 1:tak"
"215","aktywnosc_zawodowa_r4_input","Aktywnoœæ zawodowa - Inne: (jakie?)",NA
"216","zam_partner","Zamieszkiwanie z partnerem/k¹:","1:Tak, 2:Nie, 99:uzasadniony brak danych"
"217","dzieci","Czy ma Pan dzieci?","1:Tak, 2:Nie"
"218","psycho1","Czy obecnie stosuje Pan farmakoterapiê dla regulowania funkcjonowania psychologicznego?","1:Tak, 2:Nie, 3:Nie chcê powiedzieæ"
"219","psycho2","Czy obecnie korzysta Pan z pomocy psychologicznej lub psychoterapii (indywidualnej lub grupowej)?","1:Tak, 2:Nie, 3:Nie chcê powiedzieæ, 4:Chcê powiedzieæ wiêcej:"
"220","psycho2_r4_input","Czy obecnie korzysta Pan z pomocy psychologicznej lub psychoterapii (indywidualnej lub grupowej) (chcê powiedzieæ wiêcej)?",NA
"221","psycho3","Czy obecnie cierpi Pan na przewlek³¹ chorobê somatyczn¹?","1:Tak, 2:Nie, 3:Nie chcê powiedzieæ"
"222","psycho4","Czy w czasie ostatnich dwóch tygodni mia³o miejsce w Pana ¿yciu jakieœ wa¿ne wydarzenie ¿yciowe, które znacz¹co wp³ynê³o na codzienne funkcjonowanie Pana lub Pana bliskich?","1:Tak, 2:Nie, 3:Nie chcê powiedzieæ"
"223","psycho5","Czy kiedykolwiek korzysta³eœ z psychoterapii lub pomocy psychologicznej?(indywidualnej lub grupowej)?","1:Tak - wpisz ³¹czny czas trwania psychoterapii, 2:Nie"
"224","psycho5_r1_input","Czy kiedykolwiek korzysta³eœ z psychoterapii lub pomocy psychologicznej?(indywidualnej lub grupowej) (jak d³ugo?)?",NA
"225","psycho6","Czy kiedykolwiek skierowano Ciê na leczenie ambulatoryjne/szpitalne z powodu trudnoœci psychicznych?","1:Tak, 2:Nie"
"226","psycho7","Czy kiedykolwiek przyjmowa³eœ leki przepisane przez lekarza na problemy ze zdrowiem psychicznym (np. leki przeciwdepresyjne, przeciwlêkowe)?","1:Tak, 2:Nie"
"227","psycho8_r1","W czasie ostatnich dwóch tygodni moje ogólne samopoczucie: - uleg³o znacznemu pogorszeniu uleg³o znacznemu polepszeniu?","1:1, 2:2, 3:3, 4:4, 5:5, 6:6, 7:7"
"228","psycho9_r1","W czasie ostatnich dwóch tygodni moja ogólna sytuacja zwi¹zana z prac¹ zawodow¹ lub szko³¹ (nauk¹): - uleg³a znacznemu pogorszeniu uleg³a znacznemu polepszeniu?","1:1, 2:2, 3:3, 4:4, 5:5, 6:6, 7:7"
"229","psycho10_r1","W czasie ostatnich dwóch tygodni moja ogólna sytuacja zwi¹zana z relacjami i z innymi ludŸmi: - uleg³a znacznemu pogorszeniu uleg³a znacznemu polepszeniu?","1:1, 2:2, 3:3, 4:4, 5:5, 6:6, 7:7"
"230","psycho11","Jeœli chcesz, ¿eby wycofanie Twoich odpowiedzi by³o mo¿liwe po zakoñczonym badaniu, wpisz dowolny kod np. inicja³y i trzy ostatnie liczby numeru telefonu:",NA
